time,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,A7,B7,C7,D7,A8,B8,C8,D8,A9,B9,C9,D9,A10,B10,C10,D10,Aaverage,Baverage,Caverage,Daverage,Anormalised,Bnormalised,Cnormalised,Dnormalised,OD_A,OD_B,OD_C,OD_D,DilutiontimeforA,DilutiontimeforB,DilutiontimeforC,DilutiontimeforD,ErrorA,ErrorB,ErrorC,ErrorD
4.70,46,17,38,29,100,30,83,52,144,46,116,78,193,61,156,103,241,77,194,111,287,92,230,135,333,109,268,162,386,119,310,182,433,132,346,203,471,163,378,251,47,16,37,25,13,3,9,2,0.0052,0.0021,0.0045,0.0020,0,0,0,0,-1.59,-1.60,-1.60,-1.60
4.79,49,17,39,28,105,23,83,36,153,41,121,62,196,57,159,88,246,73,197,114,291,88,234,137,338,106,273,162,383,117,311,186,424,143,343,228,477,155,383,247,47,15,38,24,13,2,10,1,0.0052,0.0014,0.0050,0.0010,0,0,0,0,-1.59,-1.60,-1.60,-1.60
4.87,42,22,36,34,92,39,78,57,139,65,111,98,190,81,149,120,238,111,184,165,294,123,229,179,341,142,266,205,392,160,305,233,441,177,345,257,490,192,383,281,49,19,38,28,15,6,10,5,0.0060,0.0042,0.0050,0.0050,0,0,0,0,-1.59,-1.60,-1.60,-1.60
4.95,46,17,37,25,97,36,78,51,138,59,112,85,193,71,159,96,233,100,192,143,295,108,234,165,343,124,270,194,396,142,309,219,446,157,349,240,485,186,383,288,48,18,38,28,14,5,10,5,0.0056,0.0035,0.0050,0.0050,0,0,0,0,-1.59,-1.60,-1.60,-1.60
5.04,50,16,38,24,93,46,76,70,146,57,116,83,188,82,151,120,249,98,194,144,299,113,234,162,349,131,272,188,399,156,307,232,449,172,349,255,503,183,392,265,50,18,39,26,16,5,11,3,0.0064,0.0035,0.0055,0.0030,0,0,0,0,-1.59,-1.60,-1.59,-1.60
5.12,44,23,38,45,96,41,82,67,144,61,122,93,200,79,162,117,254,87,207,134,302,106,245,166,352,124,286,193,406,142,328,217,457,157,374,229,509,174,413,258,50,17,41,25,16,4,13,2,0.0064,0.0028,0.0065,0.0020,0,0,0,0,-1.59,-1.60,-1.59,-1.60
5.20,55,15,45,9,105,33,85,35,158,51,127,59,213,60,173,77,264,76,215,100,312,100,253,135,357,121,292,180,411,140,336,207,467,159,380,233,532,167,426,247,53,16,42,24,19,3,14,1,0.0076,0.0021,0.0070,0.0010,0,0,0,0,-1.59,-1.60,-1.59,-1.60
5.29,52,20,40,25,107,38,84,52,158,56,125,82,211,73,170,108,265,91,213,135,321,111,256,162,381,124,306,178,431,143,345,204,483,162,390,232,540,170,438,248,54,17,43,24,20,4,15,1,0.0080,0.0028,0.0075,0.0010,0,0,0,0,-1.59,-1.60,-1.59,-1.60
5.37,55,18,45,24,105,44,85,54,162,63,129,78,215,81,172,105,266,105,213,136,320,134,254,193,376,154,300,217,443,170,349,237,499,187,392,260,554,206,433,286,55,20,43,28,21,7,15,5,0.0084,0.0049,0.0075,0.0050,0,0,0,0,-1.59,-1.60,-1.59,-1.60
5.45,58,13,49,16,111,38,89,55,174,46,140,67,223,74,179,106,284,92,223,130,340,110,267,154,389,140,307,191,451,157,354,209,516,163,403,229,569,182,448,257,56,18,44,25,22,5,16,2,0.0088,0.0035,0.0080,0.0020,0,0,0,0,-1.59,-1.60,-1.59,-1.60
